Colegiado;Componente
1023;1927
1223;14
1992;1927
2042;1930
2174;14
4009;26
4402;304
9;26
230;3162
320;316
2564;3234
79693;316
74902;263
68265;6081
68265;423
75693;17125
75693;1945
33400;100113
116113;248
3498;2981
3498;1929
3498;14
3498;3162
3498;1927
3498;93
116113;1975
116114;248
72626;47397
116114;766
116372;421
116372;116372
116373;421
79910;257
19039;244
19039;257
19039;1926
19039;2981
19039;418
72625;21818
72625;21707
19039;433
72625;21709
72625;21713
965;956
1931;26
1931;1408
1931;2837
1931;316
1932;14
1932;1988
1932;1926
1932;1929
1932;3162
1932;316
1932;1930
1932;304
1932;3159
1932;263
1932;2852
1932;1927
1932;2981
1932;2844
1932;2846
1932;2837
72078;72083
72078;89
1932;26
1932;244
6573;2837
6573;1929
6573;2981
6573;14
6573;3162
6573;1927
6573;2844
6573;2846
9154;2837
9154;263
9154;1929
9154;3162
9154;14
9674;2837
9674;1929
9674;2981
9674;2846
9674;3159
9674;2852
74450;169
9676;8836
9690;2846
9690;2844
9690;1929
9690;3162
9690;185
9676;3236
9676;3517
9676;3412
9676;3272
9676;3245
9676;3271
10146;8836
10146;3236
10146;3270
10146;3200
20977;316
20977;94
20977;2846
20977;244
20977;2844
20977;304
20977;3162
20977;2852
78139;77782
1942;2837
1942;1988
1942;2981
1942;1945
105374;2981
112729;1927
112729;1988
112729;2852
1942;42673
112729;14
112729;2981
112729;3162
12691;2837
12691;1929
12691;2981
12691;2852
12691;1927
12691;14
12691;263
12691;1988
12691;3162
25034;3236
25034;3517
25034;3245
25034;3205
25034;3200
25034;2034
25034;3234
25034;3270
12779;185
12779;263
12779;14
12779;244
12779;2844
12779;3162
12779;1988
12779;1927
12779;2981
77205;1
16886;16888
72626;2058
16887;16888
16887;28900
19235;2837
19235;1930
19235;304
19235;2844
19235;2981
19235;316
19235;1929
19235;244
19235;14
19235;1926
19235;17125
16887;28901
19239;3235
19239;3273
19239;3271
19239;3517
19239;3413
19239;3236
19239;3243
19239;3200
19239;3231
16478;316
16478;185
16478;94
16478;263
16478;48
16478;2837
16478;27
20215;3413
20215;2034
20215;8836
20215;3152
1414;185
1414;94
1414;48
1414;3162
1414;1988
1414;2981
1933;26
1933;1408
1933;316
1933;185
1933;94
1933;48
1933;263
1933;2981
72625;21700
25230;1929
25230;242
112729;17125
112729;42672
112729;1929
1932;42673
1932;27
1932;94285
1932;68487
3172;3236
3172;3433
3172;2031
3172;3139
3172;1696
77957;42672
3172;78
3172;20777
16887;28899
41036;42672
41036;263
41036;1945
73209;42670
72625;21819
95182;94285
254;253
72625;21823
72625;21824
72625;21822
254;75510
72626;47398
72626;57952
71507;2825
75693;2846
254;115734
254;115735
10775;244
117143;304
117297;117267
4009;94
112729;263
112729;2837
1883;1929
25276;2852
4246;4243
20977;9674
87;1929
82;1929
82;2981
82;89
85;14
85;1799
85;89
85;172
85;171
85;2981
7707;89
7707;478
7707;3517
7707;3236
7707;1987
7707;1696
86;3162
86;2981
86;89
86;2
88;1929
77957;2981
77957;76917
112729;2
58490;42673
229;1929
229;235
229;89
548;1929
23371;1929
23371;2981
23371;235
23371;242
23371;91
101068;1929
47027;316
58490;1930
58490;72084
58490;2981
85703;304
117297;244
117297;304
76624;1696
41036;72084
41036;68487
76757;51963
76764;41295
85703;1696
117606;68278
7201;42672
2754;244
89755;1929
72807;7484
103208;72573
72806;7482
123109;44987
123109;77415
72825;93
72827;1929
72820;1929
101112;101068
57548;1801
1223;17125
72613;41066
72613;173
57548;68487
72613;1710
72820;2981
47082;69294
47082;54844
23448;244
1463;1929
1463;89
1463;3215
1463;478
25375;3162
25375;1929
25375;2981
25375;14
25375;2852
25375;1927
25375;263
25375;1988
25375;2837
23448;17125
1950;316
23448;72084
25376;3270
25376;3236
25376;3517
25376;3245
25376;3205
25376;2034
25376;3234
25376;2837
25411;3270
23448;2852
23448;72083
23448;68487
73049;2981
73209;1929
70178;1696
2766;244
57612;72084
57612;1926
57612;17125
57612;42670
306;244
306;2844
306;14
306;1930
306;2981
3319;1929
3319;316
73049;33225
23371;89
4009;1927
74537;1929
74517;1929
74589;1696
86245;1812
7453;2981
7453;2837
7453;1929
7453;3162
1023;316
1023;304
1023;2844
1023;27
25230;235
219;185
74589;94
971;3138
54128;92
72078;1927
72078;263
1557;2981
4491;235
217;185
1557;304
1557;244
1557;2844
1557;17125
1557;1926
1557;1945
76764;34169
1557;73212
1557;1801
488;41066
488;185
76762;41315
62137;334
76714;41312
76705;46399
76714;53389
26116;14
26116;263
26116;2981
26116;3162
26116;1988
26116;1927
26116;172
26116;2
26116;93
26116;9154
906;185
76714;31950
3319;73212
1023;48
14463;91
306;304
2607;957
2607;131
2607;93
2607;94
75168;1927
76792;55116
75609;24751
1023;1812
4;2981
9972;2844
76792;41361
9972;263
1736;94
4;1696
19108;10
9972;304
26789;7
26789;2981
26789;263
7211;1927
1992;1812
13404;1930
12731;1930
75611;36670
57612;91
105061;116148
76609;76610
74902;52303
74902;2837
74902;46
74902;316
105062;116148
4402;244
72559;1945
19399;8406
57612;172
488;94
954;36687
75693;2844
75815;1929
75815;316
103225;1988
105062;105072
76705;56918
1023;94
1023;1926
1023;1930
4246;1927
110100;17125
75909;75510
105062;105071
70741;91
20215;41067
20215;48
20215;185
14463;2981
1942;1926
3508;1926
3508;244
105062;105073
3508;1988
3508;1945
3508;36670
20215;94
12691;36670
6573;42670
6573;244
6573;304
6573;42672
6573;3159
6573;2852
6573;17125
6573;72084
6573;72083
76705;56902
74902;1929
76122;2834
59090;42672
59090;2837
2041;1930
59090;1926
76122;704
59090;1929
13656;1930
13418;1930
28034;185
28034;304
28034;316
28034;1929
28034;14
28034;2846
28034;3162
28034;2981
28034;9690
59090;42670
59090;304
59090;1945
59090;1927
50447;41066
105062;105068
43571;704
76120;704
76120;2834
76121;704
76121;2834
76123;704
76123;2834
76792;55209
28831;316
28831;185
