Codigo;Nome;Sigla;CodigoPai
1988;Ministério da Ciência, Tecnologia e Inovação;MCTI;26
3162;Ministério do Desenvolvimento, Indústria e Comércio Exterior;MDIC;26
2981;Ministério do Planejamento, Orçamento e Gestão;MP;26
3;Fundação Instituto Brasileiro de Geografia e Estatística;IBGE;2981
94285;Secretaria de Assuntos Estratégicos da Presidência da República;SAE/PR;26
26;Presidência da República;PR;26
14;Ministério da Agricultura, Pecuária e Abastecimento;MAPA;26
41066;Ministério da Defesa;MD;26
120588;Campus Rio de Janeiro;CESG/RJ;36
37;Junta Consultiva;JC;120588
45;Departamento de Administração;DA;120857
120857;Subcomando;N/D;120588
20996;Gabinete;Gab;120588
41;Departamento de Estudos;DE;120857
48;Comando da Aeronáutica;COMAER;41066
53;Departamento de Ciência e Tecnologia Aeroespacial;DCTA;48
108021;Divisão Técnica;DIT;87934
80420;Coordenação de Desenvolvimento de Pessoas;CODEP;2784
10030;Primeiro Comando Aéreo Regional;I COMAR;58
41163;Comando;N/D;10030
63;Comando-Geral do Pessoal;COMGEP;48
80394;Centro de Documentação da Aeronáutica;CENDOC;63
68;Comando-Geral de Apoio;COMGAP;48
115257;Secretaria de Aviação Civil da Presidência da República;SAC;26
3159;Ministério das Comunicações;MC;26
1929;Ministério da Fazenda;MF;26
101068;Conselho Administrativo de Recursos Fiscais;CARF;1929
101119;Segunda Seção;N/D;101068
106460;Coordenação-Geral de Planejamento;CGPLA;106459
82;Conselho Monetário Nacional;CMN;1929
94;Comando do Exército;CEX;41066
98;Departamento-Geral do Pessoal;D G P ;94
105;Departamento de Educação e Cultura do Exército;DECEX;94
84156;Departamento de Ciência e Tecnologia;DCT;94
114;Departamento de Engenharia e Construção;D E C;94
131;Secretaria de Economia e Finanças;S E F;94
68349;Comando Logístico;D Log;94
7450;11ª Região Militar;11ª RM;482
128;Secretaria-Geral do Exército;S G Ex;94
5272;Divisão de Defesa Agropecuária;DDA/SFA-RS;2779
109966;Coordenação;N/D;109965
367;Departamento Nacional de Obras Contra as Secas;DNOCS;42670
42670;Ministério da Integração Nacional;MI;26
316;Ministério da Justiça;MJ;26
87155;Gerência de Finanças e Administração;Gefad-SUREG-I;87144
102351;Ouvidoria;OUV;2037
102471;Coordenação de Gestão Interna;COOR;8976
43914;Diretoria de Relacionamento, Desenvolvimento e Informações;DRD;303
92748;Secretaria de Portos da Presidência da República;SEP;26
2846;Ministério dos Transportes;MT;26
185;Comando da Marinha;CMAR;41066
187;Estado-Maior da Armada;EMA;185
191;Comando de Operações Navais;ComOpNav;185
195;Secretaria-Geral da Marinha;SGM;185
199;Diretoria-Geral do Material da Marinha;DGMM;185
202;Diretoria-Geral do Pessoal da Marinha;DGPM;185
770;Comando do 5º Distrito Naval;Com5ºDN;191
210;Diretoria-Geral de Navegação;DGN;185
192;Comando-Geral do Corpo de Fuzileiros Navais;CGCFN;185
2844;Ministério do Trabalho e Emprego;MTE;26
3370;Coordenação-Geral de Recursos Humanos;CGRH;8932
2852;Ministério de Minas e Energia;MME;26
223;Comissão Nacional de Energia Nuclear;CNEN;1988
232;Instituto Nacional de Tecnologia;INT;1988
70264;Divisão de Suprimentos;DSUP;14603
235;Superintendência de Seguros Privados;SUSEP;1929
106461;Coordenação de Desenvolvimento de Pessoas;CODES;106460
72084;Ministério do Turismo;MTur;26
244;Ministério da Educação;MEC;26
253;Fundo Nacional de Desenvolvimento da Educação;FNDE;244
100906;Instituto Federal de Educação, Ciência e Tecnologia de Farroupilha;IF FAR;244
1926;Ministério da Cultura;MinC;26
261;Fundação Casa de Rui Barbosa;FCRB;1926
263;Ministério das Relações Exteriores;MRE;26
1990;Subsecretaria-Geral do Serviço Exterior;SGEX;2034
3138;Subsecretaria-Geral da América do Sul, Central e do Caribe;SGAS;2034
266;Departamento da América do Sul I;DAS;3138
75248;Departamento da Américas Central e Caribe;DAN;3138
58949;Coordenação-Geral de Cooperação em Tecnologia da Informação e Governança Eletrônica;N/D;3616
58736;Subsecretaria-Geral Política I;SGAP;2034
271;Departamento da Europa;DEU;58736
110280;Subsecretaria-Geral Política III;SGAP;2034
274;Departamento da África ;DEAF;110280
75243;Departamento do Oriente Médio  ;DEOP;110280
